timestamp_ms,roll,pitch,heading,altitude,temperature
0,0.10,0.07,0.60,100.00,30.00
57,0.19,0.14,1.21,100.05,30.00
119,0.29,0.21,1.82,100.10,30.00
180,0.39,0.29,2.42,100.15,30.00
241,0.50,0.36,3.02,100.20,30.00
303,0.60,0.42,3.61,100.25,30.00
365,0.71,0.49,4.20,100.30,30.00
425,0.81,0.56,4.80,100.35,30.00
488,0.92,0.63,5.41,100.40,30.00
549,1.02,0.70,6.02,100.45,30.00
611,1.13,0.77,6.61,100.50,30.00
673,1.24,0.83,7.20,100.55,30.00
735,1.34,0.89,7.81,100.60,30.00
796,1.44,0.95,8.40,100.65,30.00
858,1.55,1.01,9.00,100.70,30.00
920,1.66,1.07,9.60,100.75,30.00
983,1.78,1.12,10.19,100.80,30.00
1046,1.90,1.17,10.81,100.85,30.00
1108,2.01,1.22,11.41,100.90,30.00
1170,2.12,1.26,12.01,100.95,30.00
1233,2.23,1.31,12.62,101.00,30.00
1296,2.35,1.36,13.21,101.05,30.00
1359,2.47,1.42,13.83,101.10,30.00
1420,2.58,1.46,14.43,101.15,30.00
1482,2.69,1.51,15.03,101.20,30.00
1543,2.81,1.57,15.63,101.25,30.00
1605,2.92,1.62,16.25,101.30,30.00
1667,3.04,1.67,16.86,101.35,30.00
1729,3.15,1.70,17.47,101.40,30.00
1790,3.28,1.74,18.06,101.45,30.00
1852,3.40,1.79,18.65,101.50,30.00
1915,3.51,1.83,19.25,101.55,30.00
1978,3.63,1.87,19.86,101.60,30.00
2040,3.76,1.92,20.46,101.65,30.00
2101,3.88,1.95,21.08,101.70,30.00
2165,4.01,1.98,21.68,101.75,30.00
2227,4.13,2.02,22.27,101.80,30.00
2290,4.26,2.06,22.87,101.85,30.00
2354,4.38,2.10,23.47,101.90,30.00
2416,4.50,2.12,24.08,101.95,30.00
2477,4.63,2.15,24.69,102.00,30.00
2540,4.76,2.18,25.31,102.05,30.00
2602,4.89,2.19,25.93,102.10,30.00
2665,5.00,2.21,26.53,102.15,30.00
2726,5.13,2.22,27.14,102.20,30.00
2786,5.27,2.24,27.74,102.25,30.00
2847,5.39,2.26,28.35,102.30,30.00
2909,5.52,2.27,28.96,102.35,30.00
2970,5.65,2.29,29.56,102.40,30.00
3033,5.78,2.31,30.18,102.45,30.00
